username,followers,following
mw506m,1020,2708
royroy_6161,37,43
pawsomemelanie,293,758
misty_smoky_the_cat,47,51
catkatcat_____________________,264,940
kiwimykitty,215,220
kim_zipsa,1533,1434
arslan_arsleythehusky,980,732
gressy_archer,1690,1671
pissypersian,58,101
camilacattj,81,98
princess_petunia_,155,295
elvirablackcat,320,271
_weirdflamingo_,999,2153
kajuthepaw,80,71
wonderland_whimsy,469,483
4630mi,444,745
bobo_the_cub,69,65
sketchmeifyoucat,2539,1111
lz_clipsy,168,1128
frankcastillo90,73,913
dailykittymail,45863,5252
colleensfurryfriends,443,918
nocturn_foxx,14,140
catmommy88,187,404
mainecoonbeaubeer,4610,2310
catpiccuddles,63,96
kenny.young.cho,869,956
ragamaffin0805,11,11
karly987866888,13,20
_b_aileycat_,53,49
tyuutarou_1212,556,479
tijana_chitakovic,3103,2167
kivanc_tatilug,75,664
myluxury_brand,590,5874
_paprikun,342,308
catkevinandallenthecat,18,18
alexander.6_6,124,128
abichilds,142,490
kiwi.calico,2073,925
the_king_mufasa1,94,133
in_lens_jastrzebska,170,466
belloandgrazie,2216,1291
lunaxtwilitxgoddess,1132,6703
bkh_lilly,478,638
woody_theorangecat,118,146
martine.lemckert,356,475
totorindo_thereal,170,393
serenadarkness96,244,1835
catmen_1,1703,1006
balu.the.cat.123,621,1111
ryska26.11.2014,13,3
charlie__and__oscar,2886,2018
azurelook,4441,826
aishasphotographyx,114,78
rossana.dara,480,491
oscar.josie.cats,156,124
gembullfamily,1379,326
snake_eye_sadik,35,207
myytsuki_jeon,492,1422
ylcmervefanylc,40,304
axmimolliebax,1019,587
reiting__prikolov,776,323
lychi_mochi_thegolden,2183,1929
markiza_and_co,32797,2826
loki_tabbycat,128,120
marbleshrek,1455,4696
lychi_mochimama,278,339
